Unnamed: 0,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,max_drift_rate,obs_length,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
8027,8028,-0.295923,3.352668,8414.461871,381332,8414.461914,8414.461828,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8032,8033,-0.326536,3.219079,8414.463144,380875,8414.463191,8414.463096,0,3,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8590,8591,-0.214289,3.091645,8414.471059,378048,8414.47109,8414.471027,0,2,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
8620,8621,-0.285719,3.721356,8414.466846,379552,8414.466888,8414.466804,0,4,,DIAG_MARS2020,59256.76695601852,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_1,,,0.0
26839,6114,-0.275515,3.18778,8414.47597,376288,8414.47601,8414.47593,0,4,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
26989,6264,-0.357149,3.716826,8414.474902,376665,8414.474954,8414.47485,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27169,6444,-0.357149,3.838058,8414.468165,379077,8414.468218,8414.468113,0,5,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27172,6447,-0.316332,3.171796,8414.467498,379317,8414.467544,8414.467452,0,2,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27252,6527,-0.295923,3.169444,8414.468096,379104,8414.468139,8414.468053,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27352,6627,-0.306128,3.112829,8414.470386,378284,8414.47043,8414.470341,0,3,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27380,6655,-0.387762,4.202672,8414.47521,376554,8414.475267,8414.475154,0,5,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27664,6939,-0.275515,3.188745,8414.470217,378346,8414.470257,8414.470177,0,2,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
27852,7127,-0.306128,20413.833984,8414.468802,378862,8414.468846,8414.468757,0,134,,DIAG_MARS2020,59256.77421296296,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_2,,,627.0000000949949
46196,7108,-0.316332,21376.123047,8414.468571,378932,8414.468617,8414.468525,0,122,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46381,7293,-0.377557,3.190631,8414.474946,376649,8414.475001,8414.474891,0,3,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46552,7464,-0.346945,3.056404,8414.467608,379276,8414.467659,8414.467558,0,3,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
46991,7903,-0.255106,3.155153,8414.469614,378563,8414.469651,8414.469576,0,2,,DIAG_MARS2020,59256.78146990741,00h00m00.000ss,+00d00m00.00s,18.253611,-2.793968,0,292.057776,,on_table_3,,,1254.0000001899898
